name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,405,8552862970,,-111.9472890,33.4223176,,,,,
,406,42409007,signal,-111.9472920,33.4219000,,,,,
,407,6149033280,,-111.9472910,33.4217898,,,,,
,408,8915983251,,-111.9472878,33.4213358,,,,,
,409,7130879042,,-111.9472828,33.4210822,,,,,
,410,8915983244,,-111.9472903,33.4216830,,,,,
,411,11357048310,,-111.9478708,33.4145655,,,,,
,412,401889121,,-111.9478700,33.4142691,,,,,
,413,41590453,,-111.9478693,33.4135543,,,,,
,414,41812221,,-111.9478710,33.4146460,,,,,
,415,2341521972,,-111.9478664,33.4128837,,,,,
,416,401889103,,-111.9478661,33.4128353,,,,,
,417,42409067,,-111.9478647,33.4124864,,,,,
,418,401886181,,-111.9478597,33.4106298,,,,,
,419,401887931,,-111.9478614,33.4113874,,,,,
,420,401888164,,-111.9478658,33.4121156,,,,,
,421,12916051895,,-111.9443149,33.4206381,,,,,
,422,11343867013,,-111.9453592,33.4206395,,,,,
,423,11343867004,,-111.9456945,33.4206399,,,,,
,424,41520523,,-111.9442498,33.4206380,,,,,
,425,11343867002,,-111.9458390,33.4206403,,,,,
,426,11343867033,,-111.9479025,33.4206456,,,,,
,427,42306195,,-111.9479737,33.4206459,,,,,
,428,11343866997,,-111.9473410,33.4206434,,,,,
,429,42409009,,-111.9472788,33.4206432,,,,,
,430,11343866993,,-111.9472210,33.4206432,,,,,
,431,401890753,,-111.9465294,33.4206430,,,,,
,432,11357167231,,-111.9523150,33.4211232,,,,,
,433,42423250,,-111.9594039,33.4211311,,,,,
,434,42001773,,-111.9522105,33.4211229,,,,,
,435,4636339233,,-111.9397030,33.4204945,,,,,
,436,10288474544,,-111.9398241,33.4204922,,,,,
,437,2625359008,signal,-111.9398765,33.4204910,,,,,
,438,10271040742,,-111.9391522,33.4204981,,,,,
,439,11349481965,,-111.9500345,33.4207497,,,,,
,440,11357167206,,-111.9521290,33.4207556,,,,,
,441,42001777,,-111.9522048,33.4207558,,,,,
,442,7130879043,,-111.9481469,33.4210882,,,,,
,443,11349503876,,-111.9498793,33.4210894,,,,,
